area_sqft,bhk,location,price,price_unit,property_type,scraped_at,title,url
1600,3,New Delhi,3.20,Cr,Apartment,2026-02-19T16:41:50.004722,"3 BHK  1780 Sq-ft  Flat  For SaleDwarka, New Delhi",https://www.magicbricks.com/propertyDetails/3-BHK-1780-Sq-ft-Multistorey-Apartment-FOR-Sale-Dwarka-in-New-Delhi&id=4d423833313232363033
666,3,Mumbai,1.85,Cr,Apartment,2026-02-19T16:41:51.840192,"3 BHK Flat For Sale inOmkar SignetMalad East, Mumbai",https://www.magicbricks.com/propertyDetails/3-BHK-666-Sq-ft-Multistorey-Apartment-FOR-Sale-Malad-East-in-Mumbai&id=4d423832353539333139
1450,3,Bangalore,1.80,Cr,Apartment,2026-02-19T16:41:52.031055,"3 BHK Flat  For Sale in MRKR Mera Homes,Whitefield, Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1645-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423832353437383837
960,2,Gurgaon,1.50,Cr,Apartment,2026-02-19T16:41:54.987409,"2 BHK  1360 Sq-ft  Flat  For SaleNew Gurgaon, Gurgaon",https://www.magicbricks.com/propertyDetails/2-BHK-1360-Sq-ft-Multistorey-Apartment-FOR-Sale-New-Gurgaon-in-Gurgaon&id=4d423739333237393539
2678,3,Bangalore,9.13,Cr,Apartment,2026-02-19T16:41:56.406587,"3 BHK Flat For Sale in Phoenix Kessaku,Rajaji Nagar, Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-2678-Sq-ft-Multistorey-Apartment-FOR-Sale-Rajaji-Nagar-in-Bangalore&id=4d423832393533363031
1000,3,Mumbai,2.95,Cr,Apartment,2026-02-19T16:41:56.803958,"3 BHK  1100 Sq-ft  Flat  For Sale inSantacruz East, Mumbai",https://www.magicbricks.com/propertyDetails/3-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Sale-Santacruz-East-in-Mumbai&id=4d423833343138343937
2200,3,New Delhi,2.74,Cr,Apartment,2026-02-19T16:41:59.097906,"3 BHK Flat For Sale inNew Jyoti ApartmentsDwarka, New Delhi",https://www.magicbricks.com/propertyDetails/3-BHK-2200-Sq-ft-Multistorey-Apartment-FOR-Sale-Dwarka-in-New-Delhi&id=4d423833333633393339
694,2,Mumbai,2.08,Cr,Apartment,2026-02-19T16:42:02.241965,"2 BHK  998 Sq-ft  Flat  For Sale inVile Parle East, Mumbai",https://www.magicbricks.com/propertyDetails/2-BHK-998-Sq-ft-Multistorey-Apartment-FOR-Sale-Vile-Parle-East-in-Mumbai&id=4d423830363539363231
960,2,Greater Noida,2.85,Cr,Villa,2026-02-19T16:42:03.103664,"2 BHK  House For Sale inBlock B Sector Xu 1, Greater Noida",https://www.magicbricks.com/propertyDetails/2-BHK-200-Sq-m-Residential-House-FOR-Sale-in-Greater-Noida&id=4d423831333432393131
2100,3,Bangalore,6.0,Cr,Apartment,2026-02-19T16:42:03.197016,"3 BHK  2600 Sq-ft  Flat  For SaleRajaji Nagar, Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-2600-Sq-ft-Multistorey-Apartment-FOR-Sale-Rajaji-Nagar-in-Bangalore&id=4d423830313034373533
